trip_id,organization_name,is_operator
121120000304234976,Nobina Sverige AB,1
121120000304235206,Nobina Sverige AB,1
121120000304235252,Nobina Sverige AB,1
121120000304235344,Nobina Sverige AB,1
121120000304235390,Nobina Sverige AB,1
121120000304235528,Nobina Sverige AB,1
121120000304235574,Nobina Sverige AB,1
121120000304235712,Nobina Sverige AB,1
121120000304235758,Nobina Sverige AB,1
121120000304236172,Nobina Sverige AB,1
121120000304236448,Nobina Sverige AB,1
121120000304233464,Nobina Sverige AB,1
121120000304233556,Nobina Sverige AB,1
121120000304233934,Nobina Sverige AB,1
121120000304234046,Nobina Sverige AB,1
121120000304234332,Nobina Sverige AB,1
121120000304235022,Nobina Sverige AB,1
121120000304235114,Nobina Sverige AB,1
121120000304235620,Nobina Sverige AB,1
121120000304235896,Nobina Sverige AB,1
121120000304235988,Nobina Sverige AB,1
121120000304236034,Nobina Sverige AB,1
121120000304236080,Nobina Sverige AB,1
121120000304236218,Nobina Sverige AB,1
121120000304236264,Nobina Sverige AB,1
121120000304236356,Nobina Sverige AB,1
121120000304236586,Nobina Sverige AB,1
121120000304236632,Nobina Sverige AB,1
121120000304236770,Nobina Sverige AB,1
121120000304228013,Nobina Sverige AB,1
121120000304228059,Nobina Sverige AB,1
121120000304228243,Nobina Sverige AB,1
121120000304228335,Nobina Sverige AB,1
121120000304228565,Nobina Sverige AB,1
121120000304228703,Nobina Sverige AB,1
121120000304228795,Nobina Sverige AB,1
121120000304228887,Nobina Sverige AB,1
121120000304228933,Nobina Sverige AB,1
121120000304228979,Nobina Sverige AB,1
121120000304229167,Nobina Sverige AB,1
121120000304229213,Nobina Sverige AB,1
121120000304229397,Nobina Sverige AB,1
121120000304229489,Nobina Sverige AB,1
121120000304229627,Nobina Sverige AB,1
121120000304229949,Nobina Sverige AB,1
121120000304230133,Nobina Sverige AB,1
121120000304230285,Nobina Sverige AB,1
121120000304230423,Nobina Sverige AB,1
121120000304230515,Nobina Sverige AB,1
121120000304230699,Nobina Sverige AB,1
121120000304230929,Nobina Sverige AB,1
121120000304231214,Nobina Sverige AB,1
121120000304231269,Nobina Sverige AB,1
121120000304231324,Nobina Sverige AB,1
121120000304231471,Nobina Sverige AB,1
121120000304231563,Nobina Sverige AB,1
121120000304231655,Nobina Sverige AB,1
121120000304231885,Nobina Sverige AB,1
121120000304232038,Nobina Sverige AB,1
121120000304232130,Nobina Sverige AB,1
121120000304232360,Nobina Sverige AB,1
121120000304232406,Nobina Sverige AB,1
121120000304232452,Nobina Sverige AB,1
121120000304232590,Nobina Sverige AB,1
121120000304232820,Nobina Sverige AB,1
121120000304232866,Nobina Sverige AB,1
121120000304232912,Nobina Sverige AB,1
121120000304233050,Nobina Sverige AB,1
121120000304233372,Nobina Sverige AB,1
121120000304233648,Nobina Sverige AB,1
121120000304233694,Nobina Sverige AB,1
121120000304233990,Nobina Sverige AB,1
121120000304234562,Nobina Sverige AB,1
121120000304234700,Nobina Sverige AB,1
121120000304234792,Nobina Sverige AB,1
121120000304235068,Nobina Sverige AB,1
121120000304235482,Nobina Sverige AB,1
121120000304235942,Nobina Sverige AB,1
121120000304236310,Nobina Sverige AB,1
121120000304236678,Nobina Sverige AB,1
121120000304236724,Nobina Sverige AB,1
121120000304893156,Nobina Sverige AB,1
121120000304893356,Nobina Sverige AB,1
121120000304893555,Nobina Sverige AB,1
121120000304893604,Nobina Sverige AB,1
121120000304893703,Nobina Sverige AB,1
121120000304893910,Nobina Sverige AB,1
121120000304894289,Nobina Sverige AB,1
121120000304894389,Nobina Sverige AB,1
121120000304894689,Nobina Sverige AB,1
121120000304894739,Nobina Sverige AB,1
121120000304894889,Nobina Sverige AB,1
121120000304894939,Nobina Sverige AB,1
121120000304894989,Nobina Sverige AB,1
121120000304895039,Nobina Sverige AB,1
121120000304895339,Nobina Sverige AB,1
121120000304895639,Nobina Sverige AB,1
121120000304895689,Nobina Sverige AB,1
121120000304895739,Nobina Sverige AB,1
121120000304896139,Nobina Sverige AB,1
121120000304896289,Nobina Sverige AB,1
121120000304896339,Nobina Sverige AB,1
121120000304896639,Nobina Sverige AB,1
121120000304897139,Nobina Sverige AB,1
121120000304897189,Nobina Sverige AB,1
121120000304897439,Nobina Sverige AB,1
121120000304897839,Nobina Sverige AB,1
121120000304897939,Nobina Sverige AB,1
121120000304897989,Nobina Sverige AB,1
121120000304898089,Nobina Sverige AB,1
121120000304898189,Nobina Sverige AB,1
121120000304898339,Nobina Sverige AB,1
121120000304898389,Nobina Sverige AB,1
121120000304898489,Nobina Sverige AB,1
121120000304893306,Nobina Sverige AB,1
121120000304893406,Nobina Sverige AB,1
121120000304893851,Nobina Sverige AB,1
121120000304894189,Nobina Sverige AB,1
121120000304895189,Nobina Sverige AB,1
121120000304895489,Nobina Sverige AB,1
121120000304895539,Nobina Sverige AB,1
121120000304895589,Nobina Sverige AB,1
121120000304895789,Nobina Sverige AB,1
121120000304893206,Nobina Sverige AB,1
121120000304893256,Nobina Sverige AB,1
121120000304893653,Nobina Sverige AB,1
121120000304893752,Nobina Sverige AB,1
121120000304893970,Nobina Sverige AB,1
121120000304894089,Nobina Sverige AB,1
121120000304894439,Nobina Sverige AB,1
121120000304894489,Nobina Sverige AB,1
121120000304895139,Nobina Sverige AB,1
121120000304895239,Nobina Sverige AB,1
121120000304895289,Nobina Sverige AB,1
121120000304895839,Nobina Sverige AB,1
121120000304895989,Nobina Sverige AB,1
121120000304896039,Nobina Sverige AB,1
121120000304896239,Nobina Sverige AB,1
121120000304896439,Nobina Sverige AB,1
121120000304896789,Nobina Sverige AB,1
121120000304896839,Nobina Sverige AB,1
121120000304896889,Nobina Sverige AB,1
121120000304897289,Nobina Sverige AB,1
121120000304897339,Nobina Sverige AB,1
121120000304897739,Nobina Sverige AB,1
121120000304898289,Nobina Sverige AB,1
121120000304898439,Nobina Sverige AB,1
121120000304898838,Nobina Sverige AB,1
121120000304898888,Nobina Sverige AB,1
121120000304899194,Nobina Sverige AB,1
121120000304899726,Nobina Sverige AB,1
121120000304900037,Nobina Sverige AB,1
121120000304900076,Nobina Sverige AB,1
121120000304900191,Nobina Sverige AB,1
121120000304900268,Nobina Sverige AB,1
121120000304900384,Nobina Sverige AB,1
121120000304900499,Nobina Sverige AB,1
121120000304900831,Nobina Sverige AB,1
121120000304901029,Nobina Sverige AB,1
121120000304901078,Nobina Sverige AB,1
121120000304901128,Nobina Sverige AB,1
121120000304901178,Nobina Sverige AB,1
121120000304901378,Nobina Sverige AB,1
121120000304901678,Nobina Sverige AB,1
121120000304901728,Nobina Sverige AB,1
121120000304901778,Nobina Sverige AB,1
121120000304901928,Nobina Sverige AB,1
121120000304902178,Nobina Sverige AB,1
121120000304902328,Nobina Sverige AB,1
121120000304902478,Nobina Sverige AB,1
121120000304902578,Nobina Sverige AB,1
121120000304902678,Nobina Sverige AB,1
121120000304902878,Nobina Sverige AB,1
121120000304902928,Nobina Sverige AB,1
121120000304903228,Nobina Sverige AB,1
121120000304903366,Nobina Sverige AB,1
121120000304903467,Nobina Sverige AB,1
121120000304903517,Nobina Sverige AB,1
121120000304896189,Nobina Sverige AB,1
121120000304896389,Nobina Sverige AB,1
121120000304896539,Nobina Sverige AB,1
121120000304896739,Nobina Sverige AB,1
121120000304896939,Nobina Sverige AB,1
121120000304897039,Nobina Sverige AB,1
121120000304897089,Nobina Sverige AB,1
121120000304897539,Nobina Sverige AB,1
121120000304897589,Nobina Sverige AB,1
121120000304897639,Nobina Sverige AB,1
121120000304897789,Nobina Sverige AB,1
121120000304897889,Nobina Sverige AB,1
121120000304898139,Nobina Sverige AB,1
121120000304898638,Nobina Sverige AB,1
121120000304898988,Nobina Sverige AB,1
121120000304899044,Nobina Sverige AB,1
121120000304899244,Nobina Sverige AB,1
121120000304899294,Nobina Sverige AB,1
121120000304899344,Nobina Sverige AB,1
121120000304899444,Nobina Sverige AB,1
121120000304899494,Nobina Sverige AB,1
121120000304899786,Nobina Sverige AB,1
121120000304899923,Nobina Sverige AB,1
121120000304900153,Nobina Sverige AB,1
121120000304900422,Nobina Sverige AB,1
121120000304900615,Nobina Sverige AB,1
121120000304900654,Nobina Sverige AB,1
121120000304900730,Nobina Sverige AB,1
121120000304900781,Nobina Sverige AB,1
121120000304900931,Nobina Sverige AB,1
121120000304901278,Nobina Sverige AB,1
121120000304901428,Nobina Sverige AB,1
121120000304901528,Nobina Sverige AB,1
121120000304901578,Nobina Sverige AB,1
121120000304901628,Nobina Sverige AB,1
121120000304902128,Nobina Sverige AB,1
121120000304898688,Nobina Sverige AB,1
121120000304898788,Nobina Sverige AB,1
121120000304899094,Nobina Sverige AB,1
121120000304899394,Nobina Sverige AB,1
121120000304899549,Nobina Sverige AB,1
121120000304899836,Nobina Sverige AB,1
121120000304899886,Nobina Sverige AB,1
121120000304899999,Nobina Sverige AB,1
121120000304900881,Nobina Sverige AB,1
121120000304901228,Nobina Sverige AB,1
121120000304901328,Nobina Sverige AB,1
121120000304901478,Nobina Sverige AB,1
121120000304901878,Nobina Sverige AB,1
121120000304902078,Nobina Sverige AB,1
121120000304902778,Nobina Sverige AB,1
121120000304903178,Nobina Sverige AB,1
121120000304903278,Nobina Sverige AB,1
121120000304903328,Nobina Sverige AB,1
121120000304903417,Nobina Sverige AB,1
121120000304893456,Nobina Sverige AB,1
121120000304893506,Nobina Sverige AB,1
121120000304893801,Nobina Sverige AB,1
121120000304894029,Nobina Sverige AB,1
121120000304894139,Nobina Sverige AB,1
121120000304894239,Nobina Sverige AB,1
121120000304894339,Nobina Sverige AB,1
121120000304894539,Nobina Sverige AB,1
121120000304894589,Nobina Sverige AB,1
121120000304894639,Nobina Sverige AB,1
121120000304894789,Nobina Sverige AB,1
121120000304894839,Nobina Sverige AB,1
121120000304895089,Nobina Sverige AB,1
121120000304895389,Nobina Sverige AB,1
121120000304895439,Nobina Sverige AB,1
121120000304895889,Nobina Sverige AB,1
121120000304895939,Nobina Sverige AB,1
121120000304896089,Nobina Sverige AB,1
121120000304896489,Nobina Sverige AB,1
121120000304896589,Nobina Sverige AB,1
121120000304896689,Nobina Sverige AB,1
121120000304896989,Nobina Sverige AB,1
121120000304897239,Nobina Sverige AB,1
121120000304897389,Nobina Sverige AB,1
121120000304897489,Nobina Sverige AB,1
121120000304897689,Nobina Sverige AB,1
121120000304898039,Nobina Sverige AB,1
121120000304898239,Nobina Sverige AB,1
121120000304898539,Nobina Sverige AB,1
121120000304898589,Nobina Sverige AB,1
121120000304898738,Nobina Sverige AB,1
121120000304898938,Nobina Sverige AB,1
121120000304899144,Nobina Sverige AB,1
121120000304899608,Nobina Sverige AB,1
121120000304899667,Nobina Sverige AB,1
121120000304899961,Nobina Sverige AB,1
121120000304900114,Nobina Sverige AB,1
121120000304900230,Nobina Sverige AB,1
121120000304900307,Nobina Sverige AB,1
121120000304900345,Nobina Sverige AB,1
121120000304900461,Nobina Sverige AB,1
121120000304900538,Nobina Sverige AB,1
121120000304900576,Nobina Sverige AB,1
121120000304900692,Nobina Sverige AB,1
121120000304900980,Nobina Sverige AB,1
121120000304901828,Nobina Sverige AB,1
121120000304901978,Nobina Sverige AB,1
121120000304902028,Nobina Sverige AB,1
121120000304902228,Nobina Sverige AB,1
121120000304902278,Nobina Sverige AB,1
121120000304902378,Nobina Sverige AB,1
121120000304902628,Nobina Sverige AB,1
121120000304902728,Nobina Sverige AB,1
121120000304902828,Nobina Sverige AB,1
121120000304902978,Nobina Sverige AB,1
121120000304903028,Nobina Sverige AB,1
121120000304903078,Nobina Sverige AB,1
121120000304903128,Nobina Sverige AB,1
121120000304902428,Nobina Sverige AB,1
121120000304902528,Nobina Sverige AB,1
121120000305683894,Nobina Sverige AB,1
121120000305683939,Nobina Sverige AB,1
121120000305684092,Nobina Sverige AB,1
121120000305684458,Nobina Sverige AB,1
121120000305684728,Nobina Sverige AB,1
121120000305684863,Nobina Sverige AB,1
121120000305685588,Nobina Sverige AB,1
121120000305685723,Nobina Sverige AB,1
121120000305686308,Nobina Sverige AB,1
121120000305686488,Nobina Sverige AB,1
121120000305686567,Nobina Sverige AB,1
121120000305686618,Nobina Sverige AB,1
121120000305686635,Nobina Sverige AB,1
121120000305686669,Nobina Sverige AB,1
121120000305686703,Nobina Sverige AB,1
121120000305683990,Nobina Sverige AB,1
121120000305684041,Nobina Sverige AB,1
121120000305684143,Nobina Sverige AB,1
121120000305684368,Nobina Sverige AB,1
121120000305684413,Nobina Sverige AB,1
121120000305684683,Nobina Sverige AB,1
121120000305685043,Nobina Sverige AB,1
121120000305685088,Nobina Sverige AB,1
121120000305685223,Nobina Sverige AB,1
121120000305685418,Nobina Sverige AB,1
121120000305685453,Nobina Sverige AB,1
121120000305685498,Nobina Sverige AB,1
121120000305685633,Nobina Sverige AB,1
121120000305685678,Nobina Sverige AB,1
121120000305685768,Nobina Sverige AB,1
121120000305685858,Nobina Sverige AB,1
121120000305686038,Nobina Sverige AB,1
121120000305686353,Nobina Sverige AB,1
121120000305686737,Nobina Sverige AB,1
121120000305686951,Nobina Sverige AB,1
121120000305687086,Nobina Sverige AB,1
121120000305687176,Nobina Sverige AB,1
121120000305687626,Nobina Sverige AB,1
121120000305687859,Nobina Sverige AB,1
121120000305688002,Nobina Sverige AB,1
121120000305688497,Nobina Sverige AB,1
121120000305688542,Nobina Sverige AB,1
121120000305688927,Nobina Sverige AB,1
121120000305688997,Nobina Sverige AB,1
121120000305689517,Nobina Sverige AB,1
121120000305683849,Nobina Sverige AB,1
121120000305683956,Nobina Sverige AB,1
121120000305684007,Nobina Sverige AB,1
121120000305684024,Nobina Sverige AB,1
121120000305684058,Nobina Sverige AB,1
121120000305684075,Nobina Sverige AB,1
121120000305684109,Nobina Sverige AB,1
121120000305684233,Nobina Sverige AB,1
121120000305684638,Nobina Sverige AB,1
121120000305684773,Nobina Sverige AB,1
121120000305684818,Nobina Sverige AB,1
121120000305685133,Nobina Sverige AB,1
121120000305685178,Nobina Sverige AB,1
121120000305685268,Nobina Sverige AB,1
121120000305685313,Nobina Sverige AB,1
121120000305685348,Nobina Sverige AB,1
121120000305685543,Nobina Sverige AB,1
121120000305685813,Nobina Sverige AB,1
121120000305685903,Nobina Sverige AB,1
121120000305685948,Nobina Sverige AB,1
121120000305686218,Nobina Sverige AB,1
121120000305686263,Nobina Sverige AB,1
121120000305686533,Nobina Sverige AB,1
121120000305686550,Nobina Sverige AB,1
121120000305686601,Nobina Sverige AB,1
121120000305686754,Nobina Sverige AB,1
121120000305686906,Nobina Sverige AB,1
121120000305686996,Nobina Sverige AB,1
121120000305687266,Nobina Sverige AB,1
121120000305687401,Nobina Sverige AB,1
121120000305687536,Nobina Sverige AB,1
121120000305687581,Nobina Sverige AB,1
121120000305687671,Nobina Sverige AB,1
121120000305688317,Nobina Sverige AB,1
121120000305688362,Nobina Sverige AB,1
121120000305688407,Nobina Sverige AB,1
121120000305688647,Nobina Sverige AB,1
121120000305688787,Nobina Sverige AB,1
121120000305689067,Nobina Sverige AB,1
121120000305689472,Nobina Sverige AB,1
121120000305689967,Nobina Sverige AB,1
